YEAR,Item,Element,Value,T2M_MAX,T2M_MIN,PRECTOTCORR_SUM,RH2M,WS2M,GWETTOP,GWETROOT,GWETPROF
2008,Barley,Yield,6107.5,46.16,-2.78,10.55,22.31,2.83,0.09,0.2,0.2
2008,Barley,Production,24210.0,46.16,-2.78,10.55,22.31,2.83,0.09,0.2,0.2
2009,Barley,Yield,5888.0,45.23,-0.32,10.55,23.25,2.8,0.09,0.2,0.2
2009,Barley,Production,20443.0,45.23,-0.32,10.55,23.25,2.8,0.09,0.2,0.2
2010,Barley,Yield,6927.7,47.15,0.8,5.27,21.12,2.61,0.06,0.2,0.2
2010,Barley,Production,16391.0,47.15,0.8,5.27,21.12,2.61,0.06,0.2,0.2
2011,Barley,Yield,6835.2,46.38,3.05,68.55,26.19,2.78,0.08,0.2,0.2
2011,Barley,Production,15516.0,46.38,3.05,68.55,26.19,2.78,0.08,0.2,0.2
2012,Barley,Yield,6676.6,47.1,-1.17,26.37,24.31,2.88,0.07,0.19,0.2
2012,Barley,Production,13647.0,47.1,-1.17,26.37,24.31,2.88,0.07,0.19,0.2
2013,Barley,Yield,7501.3,45.79,0.89,21.09,23.88,2.94,0.07,0.2,0.2
2013,Barley,Production,11267.0,45.79,0.89,21.09,23.88,2.94,0.07,0.2,0.2
2014,Barley,Yield,5889.0,45.51,1.55,42.19,25.75,2.8,0.06,0.19,0.2
2014,Barley,Production,596355.0,45.51,1.55,42.19,25.75,2.8,0.06,0.19,0.2
2015,Barley,Yield,6835.0,45.93,0.7,21.09,23.94,2.88,0.06,0.19,0.2
2015,Barley,Production,677964.0,45.93,0.7,21.09,23.94,2.88,0.06,0.19,0.2
2016,Barley,Yield,6676.0,47.39,-0.45,42.19,25.56,2.64,0.09,0.2,0.2
2016,Barley,Production,648620.0,47.39,-0.45,42.19,25.56,2.64,0.09,0.2,0.2
2017,Barley,Yield,6700.0,46.56,-1.24,15.82,23.38,2.76,0.09,0.2,0.21
2017,Barley,Production,637612.0,46.56,-1.24,15.82,23.38,2.76,0.09,0.2,0.21
2018,Barley,Yield,6655.6,46.31,3.46,42.19,25.88,2.91,0.07,0.19,0.2
2018,Barley,Production,624702.0,46.31,3.46,42.19,25.88,2.91,0.07,0.19,0.2
2019,Barley,Yield,6654.9,46.72,3.56,5.27,25.75,2.94,0.06,0.19,0.2
2019,Barley,Production,616074.0,46.72,3.56,5.27,25.75,2.94,0.06,0.19,0.2
2020,Barley,Yield,5373.9,47.47,0.73,31.64,24.81,2.83,0.07,0.19,0.2
2020,Barley,Production,438084.0,47.47,0.73,31.64,24.81,2.83,0.07,0.19,0.2
2021,Barley,Yield,5405.4,47.08,2.62,11.72,22.69,2.79,0.08,0.2,0.2
2021,Barley,Production,4000.0,47.08,2.62,11.72,22.69,2.79,0.08,0.2,0.2
2022,Barley,Yield,5498.7,47.01,-0.42,86.14,24.0,2.79,0.09,0.2,0.2
2022,Barley,Production,4300.0,47.01,-0.42,86.14,24.0,2.79,0.09,0.2,0.2
2008,Dates,Yield,6279.9,46.16,-2.78,10.55,22.31,2.83,0.09,0.2,0.2
2008,Dates,Production,986409.0,46.16,-2.78,10.55,22.31,2.83,0.09,0.2,0.2
2009,Dates,Yield,6122.3,45.23,-0.32,10.55,23.25,2.8,0.09,0.2,0.2
2009,Dates,Production,991660.0,45.23,-0.32,10.55,23.25,2.8,0.09,0.2,0.2
2010,Dates,Yield,6392.2,47.15,0.8,5.27,21.12,2.61,0.06,0.2,0.2
2010,Dates,Production,991546.0,47.15,0.8,5.27,21.12,2.61,0.06,0.2,0.2
